web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,price,data6,data7,data8,data9,data10,price2,data11,data12,data13,data14,data15,data16,data17,data18,data19,price3,data20,data21,data22,data23,data24,data25,data26,data27,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17,image18
"1773520316-1","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Vibrating Sex Toy for Couples Discreet Wireless Vibrator for Women for Outdoor Intimate Play","Shenzhen Y.love Technology Co., Ltd.","8 yrs","Min. order: 10 pieces","600+ store reviews","$9.65","","3 sold","11% reorder rate","1600+ views from North America","≤4h response time","","","4.7","4.7/5.0","(64)","5-day dispatch","Chat now","Add to cart","Toy","","","","","certified","","$20 off shipping","Money-back guarantee","CN","","https://s.alicdn.com/@sc04/kf/A6553d4da512f423e935dd4c98ac7cc75i.jpg_300x300.jpg","","","https://s.alicdn.com/@sc01/kf/Hdbac61a2fce04421bb714a28e201ead6R.png?webp=close&avif=close","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png"
"1773520316-2","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Realistic Vibrating Retractable Heated Dildo Adult Sex Toys Female Massage Thrusting Silicone Huge Realistic Dildo for Women","Shenzhen Finomay Technology Co., Ltd.","2 yrs","Min. order: 1 piece","200+ store reviews","$10.98","Toys","4 sold","18% reorder rate","4200+ views from North America","≤3h response time","","","4.7","4.7/5.0","(116)","5-day dispatch","Chat now","Add to cart","Adult","","","","","","","FREE shipping","Money-back guarantee","CN","","https://s.alicdn.com/@sc04/kf/Hb2852f0d7e074e009faf56f819cb5c41j.jpg_300x300.jpg","","","https://s.alicdn.com/@sc01/kf/Hdbac61a2fce04421bb714a28e201ead6R.png?webp=close&avif=close","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png"
"1773520316-3","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Love Dice Glow Funny Sex Dice Adult Toys Couple Lovers Games Dice Sex Game Adult","Shenzhen Blackberry E-Commerce Co., Ltd.","6 yrs","Min. order: 1 pair","1400+ store reviews","","Toys","396 sold","3% reorder rate","1500+ views from North America","≤3h response time","$0.29","","4.6","4.6/5.0","(276)","Lower priced than similar","Chat now","Add to cart","Adult","Adult","10% off","","","","","FREE shipping","5-day dispatch","CN","Money-back guarantee","https://s.alicdn.com/@sc04/kf/H5a0ee89f21b14ab4a30af5ebb1922174p.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@sc01/kf/He15f3630b6674cb697c45c43f49fc3752.png","","","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png"
"1773520316-4","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Hot Sale 2.7KG TPE Realistic Male Half Body with Dildo Big Artificial Ass Adult Sex Toy for Women Masturbate","Guangzhou Kumu Technology Industrial Co., Ltd.","1 yr","Min. order: 1 piece","100+ store reviews","","Toy","2 sold","10% reorder rate","2100+ views from North America","≤2h response time","$22.15","","4.9","4.9/5.0","(35)","No import charges","Chat now","Add to cart","Adult","","10% off","","","","","180-day lowest prices","7-day delivery","CN","Easy Return","https://s.alicdn.com/@sc04/kf/Hed90f949b23c4703bd681854f7db88c4K.jpg_300x300.jpg","","","https://s.alicdn.com/@img/imgextra/i2/O1CN01EiBgBr1pi31cCfM14_!!6000000005393-2-tps-222-46.png?webp=close&avif=close","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i2/O1CN01ricZup1bUObEz6vZ3_!!6000000003468-2-tps-34-34.png","","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@sc01/kf/He15f3630b6674cb697c45c43f49fc3752.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png"
"1773520316-5","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","2 In1 Rose Sex Toy Stimulator Adult Toys Clitoral Tongue Licking G Spot Vibrators Thrusting Dildo Vibrator for Women","Shenzhen Dongshishui Technology Co., Ltd.","3 yrs","Min. order: 1 piece","200+ store reviews","$5.50","Adult","1,784 sold","9% reorder rate","8400+ views from North America","≤2h response time","","","4.4","4.4/5.0","(48)","Delivery by Apr 06","Chat now","Add to cart","Toy","Toys","","","","","","FREE shipping","Money-back guarantee","CN","","https://s.alicdn.com/@sc04/kf/H278201957ca0463eb315fd4e895119a5G.jpg_300x300.jpg","","","https://s.alicdn.com/@sc01/kf/Hdbac61a2fce04421bb714a28e201ead6R.png?webp=close&avif=close","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png"
"1773520316-6","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Hot-Selling Rechargeable Adult Vibrator Cross-Border Female Masturbator Sex Toy USB Power Supply Tongue Licking Stick Design","Guangxi Maiyue International Technology Co., Ltd.","1 yr","Min. order: 1 piece","200+ store reviews","$4.22-6.99","Toy","","14% reorder rate","6900+ views from North America","≤5h response time","","","4.7","4.7/5.0","(118)","","Chat now","","Adult","","","","Easy Return","","","","","CN","","https://s.alicdn.com/@sc04/kf/H55069c87a2cf4fdf8f08b5e48fc950f2c.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","",""
"1773520316-7","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Remote control style Push-slide Toy Adult Metal Relief Toy Finger Push Rotating Relief Toy Gift for Adult and Children","Hangzhou Jingmai Network Technology Co., Ltd.","1 yr","Min. order: 1 piece","200+ store reviews","$2.12","Adult","10 sold","12% reorder rate","1100+ views from North America","≤3h response time","","Toy","4.7","4.7/5.0","(74)","Lower priced than similar","Chat now","Add to cart","Toy","Toy","","Adult","","","","FREE shipping","5-day dispatch","CN","Money-back guarantee","https://s.alicdn.com/@sc04/kf/H524c1ef7604040c092ef1f88efd8f2f5b.jpg_300x300.jpg","","","","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@sc01/kf/He15f3630b6674cb697c45c43f49fc3752.png","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png"
"1773520316-8","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Women Laurus Octopus Electric Shock Breast Massager Masturbation Adult Sex Toy Box for Female Waterproof 10 Frequencies Product","Shandong Libo Electronic Technology Co., Ltd.","1 yr","Min. order: 1 piece","2% reorder rate","$6.80","Toy","4 sold","2100+ views from North America","≤1h response time","","","","4.6","4.6/5.0","(7)","","Chat now","","Adult","","","","","certified","Easy Return","","","CN","","https://s.alicdn.com/@sc04/kf/H84ebb2a11dd14ca5aba0c90563ea32adW.jpg_300x300.jpg","https://s.alicdn.com/@sc04/kf/Hdcdda68a5c974643bba82b99a60a9907G.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@sc04/kf/H3ad5a26ff8134e289b6265eedf954601o.png_100x100.png?webp=close&avif=close","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","",""
"1773520316-9","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","OEM 3 in 1 Hollow Flapping G Spot Vibrator Dildo Tongue Licking Bite & Slap Clitoris Stimulation Sex Toy","Xiamen Shengshi Chengze Trading Co., Ltd.","3 yrs","Min. order: 3 pieces","300+ store reviews","$7.39-7.89","","5 sold","9% reorder rate","800+ views from North America","≤11h response time","","","4.6","4.6/5.0","(127)","Delivery by Apr 05","Chat now","Add to cart","Toy","","","","","","","FREE shipping","Easy Return","CN","","https://s.alicdn.com/@sc04/kf/H8874a5f2588e4baba0eae8af06e80a54M.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png"
"1773520316-10","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Female Masturbation Half Body 8.5inch Dildo Big Penis Realistic Anal Hole Muscle Abs Male Torso Sex Love Doll for Women Gay Men","Shenzhen Everycom Technology Company Limited","3 yrs","Min. order: 1 piece","100+ store reviews","$79.50","","15 sold","10% reorder rate","7600+ views from North America","≤2h response time","","","4.6","4.6/5.0","(88)","Easy Return","Chat now","Add to cart","","","","","","certified","","5-day dispatch","","CN","","https://s.alicdn.com/@sc04/kf/Ha4c523610be24f10b793c2a1904aa6a10.jpg_300x300.jpg","","https://s.alicdn.com/@sc04/kf/Hdcdda68a5c974643bba82b99a60a9907G.png_100x100.png?webp=close&avif=close","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png",""
