web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,price,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,price2,price3,data21,data22,data23,data24,data25,data26,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17,image18
"1773520295-1","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Sex Pillow Couples Sex Toys, Inflatable Lounge Velvety Anti-Leak Valve Sex Bed Things Cushion for Couple Female","Hefei Jiaang E-Commerce Co., Ltd.","5 yrs","Min. order: 1 piece","1700+ store reviews","$9.99","Toys","7 sold","","9% reorder rate","100+ views from North America","≤3h response time","4.4","4.4/5.0","(280)","","","Chat now","Add to cart","","","","","","Easy Return","","CN","","","https://s.alicdn.com/@sc04/kf/Hf17e662e49704f639f1296049675b940R.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg",""
"1773520295-2","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Factory Direct Hot Sell Realistic Big Dildo Soft TPE Penis Adult Sex Toy for Women Lifelike Male Masturbator","Guangzhou Kumu Technology Industrial Co., Ltd.","1 yr","Min. order: 1 piece","100+ store reviews","$23-46","Adult","3 sold","","10% reorder rate","400+ views from North America","≤2h response time","4.9","4.9/5.0","(35)","","","Chat now","","Toy","","","","","Easy Return","","CN","","","https://s.alicdn.com/@sc04/kf/H49852ef791f94c3cb902eb69afd5c385o.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg",""
"1773520295-3","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","11pcs/sets Sexy Flirting BDSM Fetish PU Leather Erotic Adult Games Items","Shenzhen Leeho Technology Co., Ltd.","14 yrs","Min. order: 1 set","1100+ store reviews","$9.90","Adult","","","4% reorder rate","100+ views from North America","≤3h response time","4.4","4.4/5.0","(276)","","","Chat now","Add to cart","","","","","","","","CN","","","https://s.alicdn.com/@sc04/kf/H58e7ac6a465b46bebf4e3ad744fd8e3cv.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg",""
"1773520295-4","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Male Electric Masturbation Cup Simulation Vaginal Pocket Pussy Massage Masturbator Penile Exercise Device Male Adult Sex Toys","Shenzhen Mg Technology Co., Ltd.","2 yrs","Min. order: 1 piece","≤3h response time","$10","Adult","","","","","","4.1","4.1/5.0","(4)","","","Chat now","Add to cart","Toys","","","","","","","CN","$20 off shipping","","https://s.alicdn.com/@sc04/kf/Hfb6e7374d4e44525b3580fb589eed1e3u.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png"
"1773520295-5","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Women's Realistic Vibrator Adult Sex Toys Artificial Silicone Cock Massager G-Spot Stimulator TPE Material Dildos","Shenzhen Dreamspie Technology Co., Ltd.","3 yrs","Min. order: 1 piece","100+ store reviews","$13","Adult","","","6% reorder rate","≤10h response time","","4.4","4.4/5.0","(83)","","","Chat now","Add to cart","Toys","","","","","","","CN","FREE shipping","","https://s.alicdn.com/@sc04/kf/He06d99d173d84fd5b6a95ecf8acc79beC.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png"
"1773520295-6","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Silicone Dildo for Women Manual Simulation Dildo Penis Masturbation Stick Adult Sexual Products Dildo for Women Anal Plug Toys","HuiTing Medical Technology (Huizhou) Co., Ltd.","1 yr","Min. order: 1 piece","2% reorder rate","$1.84","Adult","1 sold","","500+ views from North America","≤1h response time","","4.3","4.3/5.0","(5)","","","Chat now","Add to cart","Toys","","","","","","","CN","FREE shipping","","https://s.alicdn.com/@sc04/kf/H65981f7064d64bfea10bf2151f900b67q.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png"
"1773520295-7","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Sexbay Adult Sex Toys Realistic Silicon Mouth Masturbation Hands-Free Inflatable Tongue Products Sex Dolls Pocket Pussy Man","Guangzhou Xingwan E-Commerce Co., Ltd.","1 yr","Min. order: 10 pieces","18% reorder rate","$1.73","Adult","","","1500+ views from North America","≤4h response time","","4.6","4.6/5.0","(4)","","","Chat now","Add to cart","Toys","","","","","","","CN","$20 off shipping","","https://s.alicdn.com/@sc04/kf/Hc381a8507a0a4338bcce3334b63297c5x.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png"
"1773520295-8","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Wholesale High Quality LCD Display Octopus Tentacles Shape 9 Vibration Modes Vibrators G Spot Vagina Clit Massage","Xiamen Shiran Technology Co., Ltd.","4 yrs","Min. order: 3 pieces","1400+ store reviews","$9.71","","13 sold","","4% reorder rate","400+ views from North America","≤5h response time","4.8","4.8/5.0","(83)","","","Chat now","Add to cart","","","","","","Easy Return","","CN","","","https://s.alicdn.com/@sc04/kf/H3dd189e1c88a4637afbc25c38ba036c6Q.jpg_300x300.jpg","","","","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg",""
"1773520295-9","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","OEM Hot Selling Games Sexual Position Play Paper Cards Adult Sexy Game Cards Sets for Couple Game Sex Position Sex Toys","Xiamen Shengshi Chengze Trading Co., Ltd.","3 yrs","Min. order: 2 pieces","300+ store reviews","$2.49-5.50","Adult","","","9% reorder rate","100+ views from North America","≤11h response time","4.6","4.6/5.0","(127)","","","Chat now","Add to cart","Toys","","","","","","","CN","FREE shipping","","https://s.alicdn.com/@sc04/kf/H4e495344288c47a9b71333cb682236d1u.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png"
"1773520295-10","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Anal Plug Sex Toys Vibrator Silicone Anal Toys Butt Plug Training Kit Vibrating Anal Plug and Prostate Massager Adult Sex Toys","ETE (DongGuan) Technology Co., LTD.","2 yrs","Min. order: 1 piece","100+ store reviews","$3.97-4.06","Toys","1 sold","Adult","9% reorder rate","300+ views from North America","≤5h response time","4.4","4.4/5.0","(67)","","","Chat now","Add to cart","Toys","Toys","","","","","","CN","$20 off shipping","","https://s.alicdn.com/@sc04/kf/H086cc731332d40b98cb9b5345e9a5cdae.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01AKovar1kB0OVaoU0M_!!6000000004644-2-tps-34-33.png"
