web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,price,data6,data7,data8,data9,data10,price2,data11,data12,data13,data14,data15,data16,data17,data18,price3,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17,image18,image19
"1773520229-1","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Wholesale Rose Vibrator Manufacturer Cheap Price Rose Toys Nipple Clitoral Sucking Rose Vibrator Sex Toys for Woman","Shenzhen Gelances Technology Co., Ltd.","6 yrs","Min. order: 1 piece","2500+ store reviews","$2.90-3.20","Toys","1,566 sold","16% reorder rate","14100+ views from North America","≤2h response time","","4.8","4.8/5.0","(194)","","Chat now","","Toys","","","","","certified","certified","","","CN","Ad","","","https://s.alicdn.com/@sc04/kf/H26c041b2c24a472c940a0243e76a7590L.jpg_300x300.jpg","","https://s.alicdn.com/@sc04/kf/Hdcdda68a5c974643bba82b99a60a9907G.png_100x100.png?webp=close&avif=close","","","","https://s.alicdn.com/@sc04/kf/Hdbbb6a106e8d4515be692063768d8fd4J.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773520229-2","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Women Rose Vibrators Sucking Masturbation Vagina Nipple Massager Clitoris Stimulation Licking Tongue Vibrator","Xiamen Shiran Technology Co., Ltd.","4 yrs","Min. order: 1 piece","1400+ store reviews","$5.40","","103 sold","4% reorder rate","11500+ views from North America","≤5h response time","","4.8","4.8/5.0","(83)","","Chat now","Add to cart","","","","","Easy Return","","","","","CN","","","","https://s.alicdn.com/@sc04/kf/Hb3976ae861fd4aa3a34038aa71429469s.jpg_300x300.jpg","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773520229-3","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Rose Clitoral Sucking Vibrator for Women Nipple Stimulator Silicone Rose Sex Toy Female Masturbator Adult Toys Wholesale","Shenzhen Xindeli Technology Industrial Co., Ltd.","1 yr","Min. order: 1 piece","200+ store reviews","$2.25","Adult","1,408 sold","7% reorder rate","900+ views from North America","≤2h response time","","4.6","4.6/5.0","(122)","","Chat now","Add to cart","Toy","Toys","","","","","certified","5-day dispatch","Easy Return","CN","Ad","","","https://s.alicdn.com/@sc04/kf/Heb85837001e0453081332df650b38e1e2.png_300x300.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01Qlzniu1tBJAdJ8zsY_!!6000000005863-2-tps-283-45.png?webp=close&avif=close","https://s.alicdn.com/@sc04/kf/H1603a777e41b4b4eb3cba19c631cff6cX.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@sc04/kf/Hdbbb6a106e8d4515be692063768d8fd4J.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@sc04/kf/H3ad5a26ff8134e289b6265eedf954601o.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@sc04/kf/H22471f40ed7c43bd96412a4e0934b019C.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@sc04/kf/H018435c67be4469fb37ace1bc6888139Z.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773520229-4","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Wholesale TPE Dildo Masturbation with Penis Model Soft Realistic Anal Sex Toy for Gay Men","Guangzhou Kumu Technology Industrial Co., Ltd.","1 yr","Min. order: 1 piece","100+ store reviews","","","","10% reorder rate","300+ views from North America","≤2h response time","$6","4.9","4.9/5.0","(35)","","Chat now","Add to cart","Toy","","10% off","","","","","No import charges","7-day delivery","CN","","","Easy Return","https://s.alicdn.com/@sc04/kf/H48482a6dea0b4683809512b4af8161254.jpg_300x300.jpg","https://s.alicdn.com/@img/imgextra/i2/O1CN01EiBgBr1pi31cCfM14_!!6000000005393-2-tps-222-46.png?webp=close&avif=close","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773520229-5","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Gelances Waterproof Adult Toys Multi-Frequency Bullet Vibrator for Women G-Spot Clitoral Stimulation Waterproof Wand Massager","Shenzhen Gelances Technology Co., Ltd.","6 yrs","Min. order: 5 pieces","2500+ store reviews","$1.50","Toys","96 sold","16% reorder rate","7000+ views from North America","≤2h response time","","4.8","4.8/5.0","(194)","","Chat now","Add to cart","Adult","","","","","certified","certified","5-day dispatch","","CN","Ad","","","https://s.alicdn.com/@sc04/kf/Hf1440bd2f06d47b2b8013774527ad609W.jpg_300x300.jpg","","https://s.alicdn.com/@sc04/kf/Hdcdda68a5c974643bba82b99a60a9907G.png_100x100.png?webp=close&avif=close","","","","https://s.alicdn.com/@sc04/kf/Hdbbb6a106e8d4515be692063768d8fd4J.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773520229-6","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Adult Sex Dice Lover Flirt Dice Adult Sexy Game Sex Toys Couple Party Funny Toys Novelty Products","Shenzhen Blackberry E-Commerce Co., Ltd.","6 yrs","Min. order: 1 piece","1400+ store reviews","$0.29-1.09","Adult","18 sold","3% reorder rate","800+ views from North America","≤3h response time","","4.6","4.6/5.0","(276)","","Chat now","Add to cart","Adult","Toys","","Toys","","","","","","CN","","","","https://s.alicdn.com/@sc04/kf/H02fbdb35ecd84aa7a2b9b8cce194941cg.jpg_300x300.jpg","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773520229-7","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Small Mini Size Clitoral Sucker Vibrator Nipple G Spot Sucking Clitoris Erotic Stimulator Female Masturbator Sex Toys","Shenzhen Zepu Photoelectricity Co., Ltd.","15 yrs","Min. order: 50 pieces","400+ store reviews","$3.20-3.99","","542 sold","13% reorder rate","7500+ views from North America","≤10h response time","","4.6","4.6/5.0","(45)","","Chat now","","Toys","","","","","certified","certified","","","CN","Ad","","","https://s.alicdn.com/@sc04/kf/H3115a4e74ed547e2a6f756696ebfa30dJ.jpg_300x300.jpg","","https://s.alicdn.com/@sc04/kf/Hdcdda68a5c974643bba82b99a60a9907G.png_100x100.png?webp=close&avif=close","","","","https://s.alicdn.com/@sc04/kf/Hdbbb6a106e8d4515be692063768d8fd4J.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773520229-8","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","2025 Factory Wholesale Hot Selling Men's Sex Toys Adult Toys","Shenzhen Yidishi Industrial Co., Ltd.","6 yrs","Min. order: 10 boxes","1100+ store reviews","$1.90","Adult","","12% reorder rate","≤4h response time","","","4.4","4.4/5.0","(324)","","Chat now","Add to cart","Toys","Toys","","","","","","Easy Return","","CN","","","","https://s.alicdn.com/@sc04/kf/Hdd316929a4a2471aa7e38e1538d7b071o.jpg_300x300.jpg","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773520229-9","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Sexy Flirting Fetish 13pcs/set PU Leather Erotic Adult Games Items","Shenzhen Leeho Technology Co., Ltd.","14 yrs","Min. order: 1 set","1100+ store reviews","$9.99","","2 sold","4% reorder rate","100+ views from North America","≤3h response time","","4.4","4.4/5.0","(276)","","Chat now","Add to cart","Adult","","","","Easy Return","","","","","CN","","","","https://s.alicdn.com/@sc04/kf/Hac21d2be440f43b69bd44b597dcfe332p.jpg_300x300.jpg","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773520229-10","https://www.alibaba.com/search/page?spm=a2700.product_home_fy25.the-new-header_fy23_pc_search_bar.keydown__Enter&SearchScene=proSearch&SearchText=adult+toys&pro=true&from=pcHomeHeader","Smart Counting Adult Soft Male Masturbation Cup TPE Material Sex Toy Features Vibrating Sucking","Shenzhen Aiersha Technology Co., Ltd.","10 yrs","Min. order: 1 piece","3400+ store reviews","$55","Toy","15 sold","7% reorder rate","600+ views from North America","≤4h response time","","4.7","4.7/5.0","(108)","","Chat now","Add to cart","Adult","","","","","certified","certified","Delivery by Apr 05","Easy Return","CN","","","","https://s.alicdn.com/@sc04/kf/Hacf7343eb254450b8ca4adef0c6e85b9w.jpg_300x300.jpg","","https://s.alicdn.com/@sc04/kf/H3ad5a26ff8134e289b6265eedf954601o.png_100x100.png?webp=close&avif=close","","","","https://s.alicdn.com/@sc04/kf/Hdbbb6a106e8d4515be692063768d8fd4J.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
